"Star
 Designation","RA
 (2000)","Dec
 (2000)",V,B-V,U-B,V-R,R-I,V-I
TPHE A,00:30:09,-46:31:22,14.651,0.793,0.38,0.435,0.405,0.841
TPHE B,00:30:16,-46:27:55,12.334,0.405,0.156,0.262,0.271,0.535
TPHE C,00:30:17,-46:32:34,14.376,-0.298,-1.217,-0.148,-0.211,-0.36
TPHE D,00:30:18,-46:31:11,13.118,1.551,1.871,0.849,0.81,1.663
TPHE E,00:30:19,-46:24:36,11.63,0.443,-0.103,0.276,0.283,0.564
TPHE F,00:30:50,-46:33:33,12.474,0.855,0.532,0.492,0.435,0.926
TPHE G,00:31:05,-46:22:43,10.442,1.546,1.915,0.934,1.085,2.025
PG0029+024,00:31:50,#N/A,15.268,0.362,-0.184,0.251,0.337,0.593
PG0039+049,00:42:05,#N/A,12.877,-0.019,-0.871,0.067,0.097,0.164
92 309,00:53:14,#ERROR!,13.842,0.513,-0.024,0.326,0.325,0.652
92 235,00:53:16,#ERROR!,10.595,1.638,1.984,0.894,0.911,1.806
92 322,00:53:47,#ERROR!,12.676,0.528,-0.002,0.302,0.305,0.608
92 245,00:54:16,#ERROR!,13.818,1.418,1.189,0.929,0.907,1.836
92 248,00:54:31,#ERROR!,15.346,1.128,1.289,0.69,0.553,1.245
92 249,00:54:34,#ERROR!,14.325,0.699,0.24,0.399,0.37,0.77
92 250,00:54:37,#ERROR!,13.178,0.814,0.48,0.446,0.394,0.84
92 330,00:54:44,#ERROR!,15.073,0.568,-0.115,0.331,0.334,0.666
92 252,00:54:48,#ERROR!,14.932,0.517,-0.14,0.326,0.332,0.666
92 253,00:54:52,#ERROR!,14.085,1.131,0.955,0.719,0.616,1.337
92 335,00:55:00,#ERROR!,12.523,0.672,0.208,0.38,0.338,0.719
92 339,00:55:03,#ERROR!,15.579,0.449,-0.177,0.306,0.339,0.645
92 342,00:55:10,#ERROR!,11.613,0.436,-0.042,0.266,0.27,0.538
92 188,00:55:10,#ERROR!,14.751,1.05,0.751,0.679,0.573,1.254
92 409,00:55:14,#ERROR!,10.627,1.138,1.136,0.734,0.625,1.361
92 410,00:55:15,#N/A,14.984,0.398,-0.134,0.239,0.242,0.484
92 412,00:55:16,#N/A,15.036,0.457,-0.152,0.285,0.304,0.589
92 259,00:55:22,#ERROR!,14.997,0.642,0.108,0.37,0.452,0.821
92 345,00:55:24,#ERROR!,15.216,0.745,0.121,0.465,0.476,0.941
92 347,00:55:26,#ERROR!,15.752,0.543,-0.097,0.339,0.318,0.658
92 260,00:55:29,#ERROR!,15.071,1.162,1.115,0.719,0.608,1.328
92 348,00:55:30,#ERROR!,12.109,0.598,0.056,0.345,0.341,0.688
92 417,00:55:32,#ERROR!,15.922,0.477,-0.185,0.351,0.305,0.657
92 263,00:55:40,#ERROR!,11.782,1.048,0.843,0.563,0.522,1.087
92 497,00:55:54,#N/A,13.642,0.729,0.257,0.404,0.378,0.783
92 498,00:55:57,#N/A,14.408,1.01,0.794,0.648,0.531,1.181
92 500,00:55:58,#N/A,15.841,1.003,0.211,0.738,0.599,1.338
92 425,00:55:59,#ERROR!,13.941,1.191,1.173,0.755,0.627,1.384
92 501,00:56:00,#N/A,12.958,0.61,0.068,0.345,0.331,0.677
92 426,00:56:00,#ERROR!,14.466,0.729,0.184,0.412,0.396,0.809
92 355,00:56:06,#ERROR!,14.965,1.164,1.201,0.759,0.645,1.406
92 427,00:56:07,#ERROR!,14.953,0.809,0.352,0.462,2.922,3.275
92 502,00:56:08,#N/A,11.812,0.486,-0.095,0.284,0.292,0.576
92 430,00:56:16,#ERROR!,14.44,0.567,-0.04,0.338,0.338,0.676
92 276,00:56:27,#ERROR!,12.036,0.629,0.067,0.368,0.357,0.726
92 282,00:56:47,#ERROR!,12.969,0.318,-0.038,0.201,0.221,0.422
92 508,00:56:51,#N/A,11.679,0.529,-0.047,0.318,0.32,0.639
92 507,00:56:51,#N/A,11.332,0.932,0.688,0.507,0.461,0.969
92 364,00:56:53,#ERROR!,11.673,0.607,-0.037,0.356,0.357,0.714
92 433,00:56:54,#ERROR!,11.667,0.655,0.11,0.367,0.348,0.716
92 288,00:57:17,#ERROR!,11.63,0.855,0.472,0.489,0.441,0.931
F 11,01:04:22,#N/A,12.065,-0.24,-0.978,-0.12,-0.142,-0.261
F 16,01:54:08,-06:42:54,12.406,-0.012,0.009,-0.003,0.002,-0.001
93 407,01:54:37,#ERROR!,11.971,0.852,0.564,0.487,0.421,0.908
93 317,01:54:38,#ERROR!,11.546,0.488,-0.055,0.293,0.298,0.592
93 333,01:55:05,#ERROR!,12.011,0.832,0.436,0.469,0.422,0.892
93 424,01:55:26,#ERROR!,11.62,1.083,0.943,0.554,0.502,1.058
G3 33,02:00:09,#N/A,12.298,1.804,1.316,1.355,1.751,3.099
PG0220+132B,02:23:34,#N/A,14.216,0.937,0.319,0.562,0.496,1.058
PG0220+132,02:23:38,#N/A,14.76,-0.132,-0.922,-0.05,-0.12,-0.17
PG0220+132A,02:23:39,#N/A,15.771,0.783,-0.339,0.514,0.481,0.995
F 22,02:30:17,#N/A,12.799,-0.054,-0.806,-0.103,-0.105,-0.207
PG0231+051E,02:33:28,#N/A,13.804,0.677,0.201,0.39,0.369,0.757
PG0231+051D,02:33:33,#N/A,14.027,1.088,1.046,0.675,0.586,1.256
PG0231+051A,02:33:40,#N/A,12.772,0.71,0.27,0.405,0.394,0.799
PG0231+051C,02:33:41,#N/A,13.702,0.671,0.114,0.399,0.385,0.783
