Name,Latitude,Longitude,Location,Country,Contact,URL,Phone,Social Media
Agent,41.5,26.53,New Orestias,Greece,agent@tellas.gr,http://users.sch.gr/agent/news009e.htm,,
Area 52,33.38,-94.1,Texas,USA,k5apl@yahoo.com,http://www.rrac.org/,,
Astronomical Research Observatory,39.52,-88.02,Illinois,USA,stars@astro-research.org,http://www.astro-research.org/,,
Observatorio De La Ballona,33.69,-118.26,California,USA,andy.schlei@obsballona.net,https://obsballona.net/,,
Bright Skies,38.9,-77.04,Washington,USA,brightskies.us@gmail.com,http://www.brightskies.us/,,
Brooklyn Street Observatory,45.05,-64.5,North Alton,Canada,,http://www.bogan.ca/observatory/,,
Buena Vista Observatory,,,,USA,steve@astrosteve.com,http://www.astrosteve.com/,,
Missouri Skies,40.24,-94.3,Missouri,USA,dan@missouriskies.org,http://www.missouriskies.org/,,
Can Duran,41.87,3.16,,Spain,,http://astrosurf.com/pruneda/jo.htm,,
Cat's paw observatory,41.81,-71.34,MA,USA,jb11542@aol.com,http://catspawobservatory.tripod.com/,,
Cloud Bait Observatory,38.84,-105.05,Colarado,USA,,http://www.cloudbait.com/,,
Ludick Observatory,-26.08,27.78,Johannesburg,South Africa,info@astronomyforafrica.com,http://www.astronomyforafrica.com/,,
Dark Sky Observatory,35.75,-79.01,North Carolina,USA,,http://www.darkskysite.com/,,
Dog House Astronomy,,,,USA,dean@doghouseastronomy.com,http://www.doghouseastronomy.com/,,
Kochab Observatory,44.26,-93.28,Minesota,USA,bobkoch49@yahoo.com,http://www.kochabobservatory.com/,,
Astronomisenteret Kometland,62.15,6.07,Volda,Norway,,http://www.kometland.com/,+47 481 24 646,
Sterrewacht-Wave,52.01,4.19,,Netherlands,lalleman@caiway.nl,http://www.sterrenwacht-wave.nl/,,
Land of Oz Observatory,,,Kansas,USA,strgzr622@att.net,http://www.astrolandofoz.com/,,
,,,,France,,,,
