Latitude,Longitude,SQM Reading
33.5624,-111.919,18.02
51.3354,12.366,18.55
51.3317,12.3558,19.8
-36.4943,-72.7052,19.83
52.5323,13.338,18.0
-31.2018,-71.0007,21.06
41.0748,-73.7751,6.0
33.7529,-118.19,16.83
32.4603,-110.95700000000001,15.0
48.533,-2.67279,20.87
48.4728,-2.78012,20.65
52.5149,13.4285,18.06
47.5742,6.8631,18.98
37.3354,137.137,21.22
32.7864,-79.8565,21.75
47.614,6.738639999999999,19.74
37.2252,-76.5068,18.69
39.0726,-94.3638,20.09
48.498999999999995,-2.71386,17.05
33.0327,-117.286,16.85
46.5507,15.6444,19.16
46.6914,15.6447,17.89
39.0721,-94.3632,18.67
29.5094,-98.5923,17.77
35.522,139.543,20.83
-38.2448,145.96,19.61
51.1802,7.49786,19.35
51.1802,7.49811,19.9
40.2619,-75.1186,18.82
40.2617,-75.1186,18.69
40.2618,-75.1191,19.3
53.8328,-2.60145,19.19
40.1765,-75.4533,20.19
38.9948,-84.6715,19.1
26.4128,-80.111,13.8
43.2052,-85.501,17.78
-36.7495,-73.1112,17.54
33.0329,-117.286,18.37
38.4273,-90.3811,19.6
38.9949,-84.6714,19.19
41.534,-87.4807,16.71
40.2403,-75.1114,16.35
34.5689,134.977,17.15
39.1901,-93.7051,20.73
37.189,-76.4958,18.67
40.1766,-75.4533,19.52
40.1765,-75.4535,17.03
35.2954,-93.0786,18.72
43.0763,-89.4091,18.9
36.0192,-79.8533,20.86
34.5709,-119.949,20.92
46.5566,15.6061,17.95
49.2598,-123.249,16.76
48.2898,16.2947,17.04
40.2619,-75.1187,18.27
40.2618,-75.1187,18.4
33.0328,-117.286,17.33
50.8817,5.96048,21.68
46.6543,8.62165,19.6
50.5374,-4.42491,20.68
33.0326,-117.286,17.55
30.5351,-90.9828,18.69
30.5081,-90.9567,19.3
40.054,18.4729,20.84
36.6673,-87.395,20.41
26.1258,-80.1033,18.4
2.55816,103.795,18.54
42.5211,12.5197,17.5
19.4363,-99.1465,16.99
-38.2448,145.96,20.08
35.2747,-106.81299999999999,18.12
33.0327,-117.286,17.46
33.0328,-117.286,17.29
41.0301,-112.24700000000001,18.44
41.1599,-111.964,13.67
50.7507,5.8909400000000005,20.88
39.7389,-89.6844,13.28
33.7767,-118.391,19.0
-33.8814,18.6795,18.73
42.5846,-71.3966,20.0
51.403,15.8154,18.78
48.8278,19.1012,18.58
42.9815,-77.3482,17.14
43.5653,-80.3146,20.4
43.5655,-80.3147,20.48
35.3695,-81.7779,18.32
37.7459,-119.59299999999999,20.5
52.2052,-3.49338,18.35
51.0732,1.06475,17.6
0.0,0.0,16.88
31.4177,-100.51100000000001,16.41
34.1785,-118.176,18.07
33.0327,-117.286,16.68
39.4947,3.0438400000000003,21.15
31.4179,-100.51100000000001,15.83
43.5423,-116.28,19.24
45.012,-89.5989,20.79
-33.745400000000004,150.692,18.2
49.5942,-119.708,20.2
31.4178,-100.51100000000001,17.13
51.0583,4.7286,19.52
38.4274,-90.3812,19.5
3.23608,-75.173,19.46
52.3971,13.049000000000001,19.27
50.9602,4.49138,16.33
49.8692,8.82836,17.75
53.1648,10.4995,18.32
51.1802,7.49798,19.86
51.1803,7.49808,20.24
33.0328,-117.286,18.42
51.1802,7.498010000000001,20.14
47.1216,-122.875,21.33
49.1884,-122.539,17.17
35.2954,-93.0788,18.67
28.6043,-17.924,21.15
30.4109,-91.0526,17.51
28.0706,-82.3791,16.69
40.6768,-95.9359,17.89
33.3366,-111.425,19.9
30.2726,-90.9963,19.68
40.6674,-95.8445,16.77
40.4836,-74.9463,20.28
44.9005,-85.9906,18.61
39.7488,-121.79700000000001,20.11
33.0328,-117.286,16.39
33.0327,-117.286,18.69
36.0243,-79.857,18.49
50.9093,-0.529116,19.21
35.0715,32.4775,18.14
35.0715,32.4775,17.88
30.5587,-91.1436,18.82
30.5973,-91.1536,19.37
30.3462,-91.0709,18.52
30.2028,-98.0138,20.17
38.8887,-77.0356,18.56
42.6383,-71.7864,20.58
42.9331,-85.5712,17.48
42.9514,-85.6142,14.5
48.4697,-2.88289,20.2
43.2551,3.2990199999999996,19.3
36.6988,-78.6617,21.01
18.3813,-65.6181,20.27
45.7511,21.2077,19.69
33.0327,-117.286,17.24
33.0327,-117.286,18.52
33.5614,-82.7636,20.71
37.3642,-122.057,19.94
33.5042,-111.90100000000001,19.37
41.9218,-86.2831,20.84
59.9471,30.2841,15.28
59.9455,30.285999999999998,14.84
59.9462,30.2852,14.76
59.9452,30.2864,15.9
37.7536,-122.454,19.43
33.0327,-117.286,17.47
35.4329,-115.666,20.55
-38.1795,145.10399999999998,20.03
-33.7232,150.725,19.53
33.0328,-117.286,19.69
33.0327,-117.286,18.69
33.0287,-117.28,18.56
40.0314,18.3543,21.24
39.2564,-112.117,16.03
58.9689,14.5388,17.31
50.788999999999994,4.881069999999999,19.84
32.9028,-111.751,19.38
52.3938,13.0277,19.83
52.3964,12.9861,20.31
52.3999,12.9742,20.3
52.3945,13.0199,20.04
52.3962,13.0446,19.37
52.4008,12.9916,20.19
52.3972,13.0489,18.88
-36.6975,146.914,18.25
34.4718,132.82399999999998,20.75
57.0437,16.8896,19.96
32.7044,-117.166,18.35
33.0328,-117.286,18.2
44.6513,4.25264,20.47
52.0136,0.23864899999999997,15.88
38.5904,-121.39399999999999,16.81
-36.867,-73.1371,14.43
-36.8431,-73.0906,17.25
-36.8385,-73.0879,18.69
47.4896,4.33293,20.0
33.0329,-117.286,19.18
33.0328,-117.286,19.15
42.6382,-71.786,19.71
-21.244,55.3311,14.54
41.8451,-5.61563,20.0
52.3972,13.0488,19.41
51.3392,-0.478966,19.55
47.2665,8.26786,20.33
44.812,4.24365,21.03
51.1805,7.49825,20.45
40.3408,-1.11541,19.75
48.413999999999994,2.7265599999999997,18.44
42.9443,-90.6148,21.1
40.6671,-95.8445,17.03
40.6669,-95.8444,17.02
33.0326,-117.286,17.56
40.6675,-95.8448,17.45
34.4384,-118.552,19.36
33.0329,-117.286,17.76
51.8258,-4.94298,19.95
35.2952,-93.0787,19.53
46.9915,7.456910000000001,18.87
12.6048,99.9551,16.43
34.271,-119.16,19.19
-23.5124,148.166,17.89
39.5906,-105.052,19.04
-31.7546,115.738,19.56
53.4226,-2.1859599999999997,13.71
51.4581,-2.60525,15.1
0.0,0.0,12.78
52.5543,13.1496,16.48
-36.9749,-72.9359,17.63
35.5799,-121.117,18.03
45.0594,-83.4332,15.06
38.9876,-77.1579,16.18
53.5671,13.2645,18.1
46.5308,11.4178,21.38
45.5148,9.251619999999999,18.17
10.6667,-61.4158,19.02
48.4141,2.72719,19.1
50.9604,4.4912,17.33
44.4794,-73.104,20.03
50.9969,0.10674700000000001,20.52
50.8581,5.83654,19.87
38.8241,-77.418,19.12
38.824,-77.418,19.13
46.5309,11.4182,20.91
36.0717,-112.2,21.62
36.7388,-81.188,21.88
44.7746,-123.95,19.43
38.4005,-122.87100000000001,16.36
-34.8382,-56.1217,15.0
34.4568,-119.795,20.22
